"","","","",""
"","","PV1MATH","",""
"","","n","",""
"REGION","AREA","All","mean","sd"
"CENTRAL","REMOTE","121","476.9","70.37"
"","RURAL","771","506.4","69.48"
"","URBAN","699","526.8","80.70"
"NORTH","REMOTE","141","431.3","67.50"
"","RURAL","865","508.6","79.91"
"","URBAN","745","548.0","92.64"
"SOUTH","REMOTE"," 62","498.0","53.17"
"","RURAL","642","485.3","80.16"
"","URBAN","913","508.4","82.52"
